Name, Landmark, City, Town, Bed, Bath, Size, Currency, Rent, Owner,Listing_Date, Type, Description
2 Bedroom Apartment Ashaley Botwe,Ashaley Botwe,Ashaley Botwe,Accra,2,2,70.0 sqft,Ghana cedis,800,Koblanseed Enterprise  ,12 Jul  5:29 pm,Apartment,Two bedroom apartment for rent  each comes witg a toilet and bath  kitchen hall self meter and dry line  tap water available 24/7 fenced with gate. One year rent is acceptable
CHAMBER & HALL S/C Pokuase,Pokuase SDA,Pokuase,Accra,1,1,100.0 sqm,Ghana cedis,250,City Homes Estate Ltd ,12 Jul  5:16 pm,Apartment,Chamber and hall self contain 1 washrooms 1 kitchen all the rooms are tiled and the is water available in the house very big car park
Single room S/C in Spintex,near texpo,Spintex,Accra,1,1,100.0 sqft,Ghana cedis,300,Thomas Tawiah Properties  ,12 Jul  5:12 pm,Apartment,A nice and comfortable single room apartment  with own toilet  bathroom and kitchen facilities with nicely tiled floor. Have access to utilities such as water and electricity and a private metre on a walled and gated compound
chamber and hall s/c in Spintex,near texpo,Spintex,Accra,1,1,100.0 sqft,Ghana cedis,400,Thomas Tawiah Properties  ,12 Jul  5:05 pm,Apartment,A beautifully tiled chamber and hall apartment on a walled and gated compound with other apartments but have personal meter  toilet and bathroom as well as a kitchen  serene environment
2bedrm with 2washroom-Spintex,,Spintex,Accra,2,2,222.0 sqft,Ghana cedis,700,Big Ghana Properties Consult ,12 Jul  4:48 pm,Apartment,Excellent neatly built wall and gated 2bed wit 2washrm for rent in spintex pls for more options call BIG GHANA PROPERTIES CONSULT ON  price 700 one Ur is allowed
Excellent 2bedrm selfcompound@shiashi,,Shiashie,Accra,2,2,555.0 sqft,Ghana cedis,1000,Big Ghana Properties Consult ,12 Jul  4:41 pm,Apartment,Excellent 2bedrm selfcompound for rent in East legon shiashi near the Accra mall
single room s/c to let Dzorwulu,Dzorwulu,Teshie New Town,Accra,1,1,300.0 sqm,Ghana cedis,300,J Complex Limited ,12 Jul  4:26 pm,Apartment,single room self contain for rent at Dzorwulu  it's in a walled gated house    fitted kitchen with cabinet  big compound  floor tiles every where  self miter toilet and bath  Osu  South La  Teshie  Trade Fair la  Abele­nkpe­  East Legon­  La and Behind Trade Fair la Book your viewing today feel free to call j complex limited on because we have a lot of similar properties around. Owners and Agents  let us rent or sell your properties for you faster
4 Bedrooms at Tema Community 25,Inside HFC Estates,Tema,Greater Accra,4,5,7 000.0 sqft,Ghana cedis,6300,CBC (Global) Properties , 5 Jul  2:15 am,Apartment,4 Bedrooms at Tema Community 25 Kofi Annan. Close to com25  Tema. Inside HFC Estates The property has four large bedrooms with ensuite facilities. Three upstairs and one on the ground floor. There are also on the ground floor  one public washroom  large living room  dinning area and a kitchen with a store room. There is also a family living area on the first floor. Outside the main house are a garage with a driveway  a boys quarters with bath and WC facilities and a small kitchenette  and concrete stand for water tanks. The property has seven units of AC's one for each for the two living areas and one for the dinning area. USD $1500 Per Month At least 1 year Call us to arrange for free site visit
Two bedroom Apartment@Nunkwa,malece,Spintex,Accra,1,2,15.0 sqm,Ghana cedis,750,Franco Housing Properties ,10 Jul  3:16 pm,Apartment,This is Apartment around malece Exec tow bed location malece
two bedroom apartment to let Dzorw­ulu,Dzorw­ulu,Teshie New Town,Accra,2,2,300.0 sqm,Ghana cedis,1500,J Complex Limited ,12 Jul  4:18 pm,Apartment,A two bedroom apartment to let  Dzorw­ulu  Osu  South La  Teshi­e  Trade Fair la­  Abele­nkpe­  East Legon­  La and Behind Trade Fair la each room has its own toilet and bath kitchen tiled flooring everywhere unlimited access to water fenced and gated with a neatly paved compound  Book your viewing today feel free to call j complex limited because we have a lot of similar properties around. Owners and Agents  let us rent or sell your properties for you faster
3 Apartment for Rent at American Hse,East Legon American House,East Legon,Accra,3,4,100.0 sqm,Ghana cedis,1300,Top Class Properties ,12 Jul  2:43 pm,Apartment,3 Bedroom Ensuite  Apartment for Rent at Djen Ayoor  4 min drive from American House   Parking space available Guest Washroom All Bedrooms Ensuite  3 impressive distinctively themed bedrooms (1 Master Bedroom)Dining Hall Large Living room 24/7 Reliable water Standby generator Electricity Available Please Call Topclass Properties for more info thanks.
chamba and hall s/c@spintex,,Spintex,Accra,1,1,555.0 sqft,Ghana cedis,400,Big Ghana Properties Consult ,12 Jul  2:23 pm,Apartment,Executive wall and gated chamba n hal selfcontain for rent in spintex pls for more options call BIG GHANA PROPERTIES CONSULT
chamber and hall s/c Trade Fair la,Tseado behind the Trade Fair,Teshie New Town,Accra,1,1,300.0 sqm,Ghana cedis,500,J Complex Limited ,12 Jul  2:04 pm,Apartment,chamber and hall self contain 4 rent at Tseado behind the Trade Fair Osu  South La  Teshi­e  Trade Fair la  Dzorw­ulu­  Abelenkpe­  East Legon­    walled and gated  have all facilities like water and electricity. Book your viewing today feel free to call j complex limited on lot of similar properties around. Owners and Agents  let us rent or sell your properties for you faster
2 BEDROOM APARTMENT@Pokuase,Pokuase Fise,Pokuase,Accra,2,2,10 070.0 sqft,Ghana cedis,400,City Homes Estate Ltd ,12 Jul  3:55 pm,Apartment,2bedroom apartment for rent at pokuase fise very clean  and in a siren environment spacious rooms POP ceiling self meter and It has tiled inside floor a very big kitchen..
chamber and hall s/c to let at Osu,Osu R E,Teshie New Town,Accra,1,1,300.0 sqm,Ghana cedis,500,J Complex Limited ,12 Jul  1:53 pm,Apartment,A chamber and hall self contain which is perfectly situated in a serene and conducive environment at OSU  with all the necessary facilities you need. Facilities includes constant water supply  separate prepaid meter Book your viewing today feel free to call j complex limited because we have a lot of similar properties around. Owners and Agents  let us rent or sell your properties for you faster
CHAMBER AND HALL SELF CONTAIN@Pokuase,Pokuase Fise,Pokuase,Accra,1,1,10 070.0 sqft,Ghana cedis,250,City Homes Estate Ltd ,12 Jul  1:50 pm,Apartment,Chamber and hall self contain for rent at pokuase fise very clean  and in a siren environment spacious rooms POP ceiling self meter and It has tiled inside floor..
1 room self contain-K-Boat Junction,K-Boat Junction,Ga Central,Greater Accra,1,1,100.0 sqm,Ghana cedis,350,KK Solution Limited ,12 Jul  1:48 pm,Apartment,An executive single room self contain for rent at K-Boat junction  it's on a tarred roadside  walled gated house pavement compound neatly tiled with a big room separate metre  fitted kitchen with cabinet and a store room P.O.P ceiling  about ten minutes from West Legon and Gimpa to the house  rent advance is two years price is fixed and is not negotiable agency terms of registration which is ghc50.00 and a 10 % commission of total amount of rent being paid to the landlord is applied to the agency
single room self contain-West Legon,West Legon,West Legon,Accra,1,1,100.0 sqm,Ghana cedis,350,KK Solution Limited ,12 Jul  1:45 pm,Apartment,An executive single room self contain for rent at West Legon  it's in a walled gated house pavement compound neatly tiled water flows everyday  room is very spacious  separate metre  fitted kitchen with cabinet  rent advance is two years price is fixed and is not negotiable agency terms of registration which is ghc50.00 and a 10 % commission of total amount of rent being paid to the landlord is applied to the agency
3 Furnished Apartment@Westlands,Westlands,West Legon,Accra,3,2,150.0 sqft,Ghana cedis,5000,E-Villa Company Limited ,12 Jul  1:44 pm,Apartment,Three bedroom semi furnished apartment. Has swimming pool and wifi. Garden as well available. Very serene environment. Also available is a two bedroom and one bedroom semi furnished and furnished apartments. All with the same amenities. Close to the road too
3 bedroom apartment to let at labone,labone,Teshie New Town,Accra,3,3,300.0 sqm,Ghana cedis,131695,J Complex Limited ,12 Jul  1:39 pm,Apartment,3 bedroom apartment to let at labone. Each room has a wardrobe and Air-conditioners. There is standby generator  24/7 water flow and security. The kitchen is partly furnished Book your viewing today feel free to call j complex limited on because we have a lot of similar properties around. Owners and Agents  let us rent or sell your properties for you faster
3 Bedroom Apartment East Legon,East Legon,East Legon (Okponglo),Accra,3,2,200.0 sqft,Ghana cedis,10000,E-Villa Company Limited ,12 Jul  1:36 pm,Apartment,Three bedroom semi furnished apartment at eastlegon. Very neat and has good security. No water problem and any other kind of problem. Peace of mind is secured
Two Bedroom Apartment@taifa,Taifa,Taifa,Accra,2,1,200.0 sqft,Ghana cedis,600,E-Villa Company Limited ,13 Jul  9:26 pm,Apartment,Two bedroom apartment for rent for two years. Very new and fresh. Tank will be provided for water. Separate meter.
New 2 bedroom flat for rent at Nungua,Nungua,Nungua,Accra,2,1,150.0 sqm,Ghana cedis,900,Maximo Properties ,12 Jul  1:13 pm,Apartment,New 2 bedroom flat is available for rent at Nungua. It comes with a kitchen  a hall  i washroom  tiled floors  sliding windows  paved compound  etc. The size is 150m2 and the price a month. Interested persons should call Maximo Properties now.
3 Bedroom apartment for rent @ spintex,Community 20,Spintex,Accra,3,2,150.0 sqm,Ghana cedis,1200,Maximo Properties ,12 Jul  1:00 pm,Apartment,3 bedroom apartment at community 20 off the Spintex road is available for rent. It comes with 2 washrooms  a fitted kitchen  wardrobes a hall and dining area  fans louvre blades  paved compound  etc. The size is 150m2 and price for a month
3 BRM APARTMENTS TO LET - LA,Behind the Bake Shop  Behind the La Trade Fair,Other,Accra,3,2,1.0 sqm,Ghana cedis,4500,UT Properties ,12 Jul 12:52 pm,Apartment,This newly built 3 bedroom apartments situate behind the La Trade Fair - a fast developing enclave. This apartment comes with constant security  evident in the electrical fencing coupled with constant man guard. This apartment comes both furnished and unfurnished. KEY FEATURES Fitted ac's in all bedrooms and living area Fitted fans Modern fitted kitchen Water heaters in all bathrooms 24 hour power supply (standby genset) 24 hour water supply 24 hour security
